concept_code,concept_name,frequency
423,LL Strength/Movement,956
424,LLE [Temp],158
425,LLL Lung Sounds,1657
426,LU Strength/Movement,955
427,LUE [Temp],74
428,LUL Lung Sounds,1659
430,LVSW,499
431,LVSWI,499
432,Level of Conscious,2113
434,Low Exhaled Min Vol,936
436,Low Insp. Pressure,165
439,MDI #1 [Puff],385
440,MDI #2 [Puff],166
441,MDI #3 [Puff],31
442,Manual BP [Systolic],2
443,Manual BP Mean(calc),2
444,Mean Airway Pressure,931
446,Micro-Neb Treatment,84
449,Minute Volume (Set),4
450,Minute Volume(Obser),965
454,Motor Response,1965
455,NBP [Systolic],3214
456,NBP Mean,3199
457,NMB Medication,3
458,Nares [Right],13
459,Neg Insp Force(>-25),8
460,Nerve Stimulated,4
465,Neuro Symptoms,157
466,Nursing Consultation,23
467,O2 Delivery Device,780
468,O2 Delivery Device#2,118
470,O2 Flow (lpm),582
471,O2 Flow (lpm) #2,113
472,O2AV,24
473,O2AVI,24
477,Oral Care,918
478,Oral Cavity,1607
479,Orientation,1978
487,Ostomy [Type],26
490,PAO2,4
491,PAP Mean,1276
492,PAP [Systolic],1453
493,PCA 1 Hr Limit (mg),39
494,PCA Basal Rate,3
495,PCA Bolus,3
496,PCA Dose,39
497,Patient controlled analgesia (PCA) [Inject],25
498,PCA Lockout (Min),39
499,PCA Medication,40
500,PCA Total Dose,21
503,PCV Set Insp. Press,6
504,PCWP,109
506,PEEP Set,1009
512,PVR,55
513,PVRI,56
515,Pacemaker Mode,82
516,Pacemaker Type,90
517,Pacer Rate,75
518,Pacer Wire Condition,85
519,Pacer Wires Atrial,89
521,Pacer Wires Vent,89
522,Pain Cause,186
524,Pain Level (Rest),187
525,Pain Location,1101
526,Pain Management [Route/Status #1],425
527,Pain Type,433
529,Pause Time %,3
530,Peak Flow,153
532,Peak Flow (Calc),3
535,Peak Insp. Pressure,750
542,Pin Care,18
543,Plateau Pressure,597
545,Plateau-Off,194
547,Position,1704
548,Position Change,734
549,PostTib. Pulses [Right],932
550,Precautions,6752
551,Pressure Sore #1 [Stage],51
552,Pressure Sore #2 [Stage],38
554,Press Sore Site #2,106
555,PressSore Depth #1,8
558,Pressure Sore #1 [Drainage],10
561,Pressure Sore #1 [Width],23
562,Pressure Sore #2 [Width],12
564,PressSoreCleansing#1,37
565,PressSoreCleansing#2,7
567,PressSoreTreatment#1,146
568,PressSoreTreatment#2,76
570,PressSoreWoundBase#1,88
571,PressSoreWoundBase#2,55
573,Pressure Sore Odor#1,10
574,Pressure Sore Odor#2,7
576,Pressure Sore Site#1,306
578,Pressure Support,378
579,PressureReduceDevice,541
580,Previous Weight,276
581,Previous WeightF,3373
582,Procedures,292
584,Pupil Response [Right],1100
585,Pupil Size [Right],1104
588,RCW,489
589,RCWI,488
590,RL Strength/Movement,956
591,RLE [Temperature],173
592,RLE [Sensation],190
593,RLL Lung Sounds,1657
594,ROM [Type],22
595,RSBI (<200),46
596,RU Strength/Movement,959
597,RUE [Temperature],47
598,RUE [Sensation],198
599,RUL Lung Sounds,1661
601,RVSW,488
602,RVSWI,487
603,Radial Pulse [Right],67
604,Radiologic Study,157
605,Reason For Restraint,880
606,Rec. Breath Pressure,1
607,Rec.Breath Time(sec),1
608,Recruit Breath,1
609,Remote Alarm,4
610,Removed x 5 Mins,724
611,Replace Rate ml/hr,286
612,Replace.Fluid Infuse,286
614,Resp Rate (Spont),758
615,Resp Rate (Total),988
616,Respiratory Effort,283
617,Respiratory Pattern,2018
618,Respiratory Rate,7030
619,Respiratory Rate Set,786
620,Responds to Stimuli [Type],920
621,Restraint Location,1511
622,Restraint Type,854
623,Restraints Evaluated,721
624,Return Pressure mmHg,265
625,SVI,495
626,SVR,588
627,SVRI,595
628,Sedation Score,1
629,Seizure Activity,324
630,Seizure Duration,21
631,Sensitivity-Vent,919
637,Side Rails,1964
640,Significant Events,198
641,Sitter,35
642,Skin Care,698
643,Skin Color,477
644,Skin Integrity,1277
645,Skin [Temperature],467
646,SpO2,7262
648,Speech,450
649,Spiritual Support,9
651,Spon RR (Mech.),48
652,Spon. Vt (L) (Mech.),49
653,Spont. Resp. Rate,2
655,Spontaneous Movement,732
656,Sputum [Color],788
657,Sputum Source,844
659,Stool [Color],298
660,Stool Guaiac,254
661,Stool Management,279
662,Stroke Volume,499
663,Support Systems,1652
664,Swan SVO2,507
665,System Integrity,278
666,Systolic Unloading,4
669,TCPCV I:E Ratio,5
670,TCPCV Insp. Pressure,5
671,TCPCV Insp. Time,5
672,TCPCV-MAP,5
673,TOF Response/Twitch,4
674,Temp. Site,2346
676,Temperature C,1020
677,Temperature C (calc),1659
678,Temperature F,1670
679,Temperature F (calc),1017
680,Therapeutic Bed,1453
682,Tidal Volume (Obser),794
683,Tidal Volume (Set),763
684,Tidal Volume (Spont),247
686,Total PEEP Level,11
687,Trach Care,26
688,Trach [Cuff],116
690,Trach Size,116
691,Tracheostomy Cuff,96
692,Tracheostomy Type,116
693,Tract/Imm Location#1,54
697,Traction/Immobile #1,54
704,Turn,1894
705,Untoward Effect,28
706,Urine [Color],1535
707,Urine Source,1936
710,VEN Lumen Volume,47
717,Ventricular Pacemaker [Sense],25
719,Ventricular Pacemaker [mA],71
720,Ventilator Mode,976
721,Ventilator No.,117
722,Ventilator Type,1114
723,Verbal Response,1968
724,Vision - EPAP,19
725,Vision - IPAP,18
726,Vision - Mode,19
727,Vision FiO2,17
728,Vision Mask,16
729,Vision Rate,16
730,Vital Cap (>1.0)L,8
731,Warming [Device],210
732,Waveform-Vent,733
733,Weight Change,75
734,Working Pressure,16
742,calprevflg,7349
762,Admit Wt,90
763,Daily Weight,94
768,ACT (102-142),1
769,ALT,149
770,AST,149
772,Albumin (>3.2),76
773,Alk. Phosphate,149
774,Ammonia,1
775,Amylase,52
776,Arterial Base Excess,569
777,Arterial CO2(Calc),569
778,Arterial PaCO2,569
779,Arterial PaO2,567
780,Arterial pH,573
781,BUN (6-20),477
783,Blood Products,54
784,CPK,87
785,CPK/MB,48
786,Calcium (8.4-10.2),391
787,Carbon Dioxide,472
788,Chloride (100-112),472
789,Cholesterol (<200),3
791,Creatinine (0-1.3),482
793,D-Dimer (0-500),9
795,Differential-Bands,32
796,Differential-Basos,53
797,Differential-Eos,53
798,Differential-Lymphs,53
799,Differential-Monos,54
800,Differential-Polys,53
801,Digoxin,5
802,Dilantin,11
803,Direct Bili (0-0.3),30
804,Ethanol,2
805,FK506,34
806,Fibrinogen (150-400),59
807,Fingerstick Glucose,1247
809,Gentamycin/Random,1
811,Glucose (70-105),801
813,Hematocrit,601
814,Hemoglobin,464
815,INR (2-4 ref. range),349
816,Ionized Calcium,263
817,LDH,65
818,Lactic Acid(0.5-2.0),217
820,Lipase,1
821,Magnesium (1.6-2.6),470
822,Mixed Venous O2,44
823,Mixed Venous O2% Sat,148
824,PT(11-13.5),348
825,PTT(22-35),376
826,Phenobarbital,18
827,Phosphorous(2.7-4.5),390
828,Platelets,457
829,Potassium (3.5-5.3),635
833,RBC,423
834,SaO2,159
835,Sed Rate,1
836,Serum Osmolality,25
837,Sodium (135-148),500
838,SvO2,2
844,Thrombin (16-21),2
848,Total Bili (0-1.5),159
849,Total Protein(6.5-8),1
850,Triglyceride (0-200),9
851,Troponin,6
852,Tylenol,3
853,Uric Acid (2.7-7.0),2
854,Vancomycin/Peak,2
855,Vancomycin/Random,62
856,Vancomycin/Trough,4
857,Venous CO2(Calc),7
858,Venous PvCO2,7
859,Venous PvO2,7
860,Venous pH,8
861,"WBC (4-11,000)",430
916,Allergy 1,90
917,Diagnosis/op,90
919,Service,90
920,Admit Ht,90
924,Readmission,90
925,Marital Status,90
926,Religion,90
927,Allergy 2,90
930,Ext,90
935,Allergy 3,90
1043,Less Restrict Meas.,503
1044,Pain Level,187
1045,Pain Level/Response,74
1046,Pain Present,1648
1047,Range of Motion,724
1063,bath,20
1078,BATH,10
1087,Pain Assess Method,1117
1089,PainLevel Acceptable,382
1119,seizure pads,39
1125,Service Type,6646
1126,Art.pH,570
1127,"WBC   (4-11,000)",419
1162,BUN,398
1203,fleets enema,1
1286,PT,286
1328,Cartridge/Bag Change,5
1329,Initials (2 RNs) [RN #1],5
1330,Med Wasted [Drug],5
1337,Riker-SAS Scale,2150
1390,DO2,24
1391,DO2I,58
1397,RSBI (<100),46
1401,zzO2AV,24
1402,zzO2AVI,24
1411,Bladder Pressure,39
1420,Aggitation,2
1421,Anxiety,2
1422,Ataxia,2
1423,Auditory Disturbance,2
1424,CIWA Sum Total,2
1425,Daily Wake Up,749
1426,Drowsiness,2
1427,GI Prophylaxis [Drug #1],991
1428,Headache,2
1430,Nausea and Vomiting,2
1431,Orient/Clouding Sens,2
1432,Paroxysmal Sweats,2
1433,Seizure,2
1434,Slurred Speech,2
1435,Sustained Nystamus,2
1436,Tactile Disturbances,2
1437,Tremor,2
1438,Ulnar Pulse [Right],56
1439,Visual Disturbances,2
1479,IV #1 Reason DC'D,35
1480,IV #2 Reason DC'D,27
1481,IV #3 Reason DC'D,9
1482,IV #4 Reason DC'D,2
1483,RSBI Not Completed,71
1484,Risk for Falls,5256
1517,Readmit <48 hrs,25
1521,Albumin,68
1522,Calcium,324
1523,Chloride,391
1524,Cholesterol,2
1525,Creatinine,401
1526,D-Dimer,7
1527,Direct Bili,28
1528,Fibrinogen,52
1529,Glucose,698
1530,INR,286
1531,Lactic Acid,210
1532,Magnesium,390
1533,PTT,299
1534,Phosphorous,322
1535,Potassium,536
1536,Sodium,415
1537,Thrombin,1
1538,Total Bili,140
1540,Triglyceride,5
1542,WBC,356
1622,Alarms,1122
1623,Parameters Checked,1046
1624,PreSep Catheter SVO2,71
1650,high mv,104
1653,Bed Alarm,2
1696,Atr Stim Thresh mA,9
1697,Atrial Pacemaker Sense [mV],9
1698,GI Tube #1 [Site],798
1699,GI Tube #2 [Site],115
1703,Health Care Proxy,3190
1704,PA line cm Mark,970
1705,Vent Sens Thresh mV,63
1706,Ventricular Pacemaker Sense [mV],71
1707,Vent Stim Thresh mA,63
1803,Solumedrol,24
3210,pressure high,2
3211,time high,2
3212,time low,2
3223,Bedbath,13
5683,Hourly PFR,282
5813,ABP Alarm [Low],2427
5814,CVP Alarm [Low],1898
5815,HR Alarm [Low],4051
5816,ICP Alarm [Low],5
5817,NBP Alarm [Low],3457
5818,PAP Alarm [Low],756
5819,Resp Alarm [Low],3569
5820,SpO2 Alarm [Low],4036
6206,Tank A psi.,304
6207,Tank B psi.,303
6208,Ve High,643
6333,bed rotation,53
6631,pressure low,2
6701,Arterial BP #2 [Systolic],27
6702,Arterial BP Mean #2,26
6926,Arterial BP #3,13
6927,Arterial Mean #3,13
7151,HOB Measurement,5
7914,Insulin Guideline,39
7915,Pt./Family Informed,153
8365,Angio Appearance #1 [Attribute 2],141
8366,Angio Appearance #2 [Attribute 2],10
8367,Anti-Embolism [Status],1332
8368,Arterial BP [Diastolic],4504
8369,Atrial Pacemaker [Capture],10
8371,Atrial Pacemaker [Sensitivity],9
8372,Brachial Pulse [Left],41
8373,CT #1 [Leak],65
8374,CT #2 [Leak],8
8377,Capillary Refill [Left],28
8378,Chest PT [Left],96
8379,Cooling [Status],102
8380,Corneal Reflex [Left],123
8381,Dorsal PedPulse [Left],1070
8382,ETT [Location],902
8383,Edema #1 [Amount],163
8384,Edema #2 [Amount],105
8386,Femoral Pulse [Left],13
8387,GI [pH],7
8388,GI Intub #1 [Site],1140
8389,GI Intub #2 [Site],113
8390,GI#1 Tube [Drain],403
8391,GI#2 Tube [Drain],68
8392,INV Line#1 [Site],1080
8393,INV Line#2 [Site],795
8394,INV Line#3 [Site],399
8395,INV Line#4 [Site],160
8396,INV Line#5 [Site],87
8397,INV Line#6 [Site],59
8398,INV Line#7 [Site],5
8399,INV Line#8 [Site],51
8400,IV #1 [Size],693
8401,IV #2 [Size],420
8402,IV #3 [Size],180
8403,IV #4 [Size],78
8404,ImpSkin #3 [Amount],16
8405,ImpSkin #6 [Amount],3
8406,ImpSkin #1 [Amount],35
8407,ImpSkin #2 [Amount],6
8408,ImpSkin #4 [Amount],3
8409,ImpSkin #5 [Amount],3
8410,ImpSkin #1 [Length],83
8411,ImpSkin #2 [Length],6
8413,ImpSkin #4 [Length],3
8414,ImpSkin #5 [Length],3
8415,ImpSkin #6 [Length],3
8416,Inc #1 [Appearance],322
8417,Inc #2 [Appearance],178
8418,Inc #3 [Appearance],183
8419,Inc #4 [Appearance],26
8422,Inc #1 [Amount],157
8423,Inc #2 [Amount],133
8424,Inc #3 [Amount],140
8425,Inc #4 [Amount],20
8428,Inc #1 [Status],369
8429,Inc #2 [Status],268
8430,Inc #3 [Status],228
8433,Inc #4 [Status],46
8434,KneeImmobilizeLoc [Left],3
8435,LLE [Color],156
8436,LUE [Color],71
8437,MDI #1 [Drug],381
8438,MDI #2 [Drug],165
8439,MDI #3 [Drug],31
8440,Manual BP [Diastolic],1
8441,NBP [Diastolic],3205
8442,Nares [Left],12
8447,Ostomy [Appearance],26
8448,PAP [Diastolic],1445
8449,Patient controlled analgesia (PCA) [Attempt],25
8454,Pain Management [Route/Status #2],106
8456,PostTib. Pulses [Left],903
8457,Pressure Sore #1 [Heal],30
8458,Pressure Sore #2 [Heal],18
8460,Pressure Sore #1 [Amount],4
8463,Pressure Sore #1 [Length],20
8464,Pressure Sore #2 [Length],12
8466,Pupil Response [Left],1094
8467,Pupil Size [Left],1097
8468,RLE [Color],169
8469,LLE [Sensation],189
8470,ROM [Value],21
8471,RUE [Color],45
8472,LUE [Sensation],189
8473,Radial Pulse [Left],57
8474,Responds to Stimuli [Value],887
8475,Skin Condition,465
8476,Sputum Consistency,780
8477,Sputum [Amount],839
8478,Stool [Consistency],294
8479,Trach [Fenestra],116
8480,Urine [Appearance],1525
8482,Ventricular Pacemaker [Capture],22
8484,Ventricular Pacemaker [Sensitivity],70
8485,Warming [Status],191
8486,Initials (2 RNs) [RN #2],1
8487,Med Wasted [Amount],1
8488,GI Prophylaxis [Drug #2],18
8489,Ulnar Pulse [Left],47
8491,Atrial Pacemaker Sense [mA],9
8492,GI Tube #1 [Site],792
8493,GI Tube #2 [Site],113
8495,Ventricular Pacemaker Sense [mA],70
8547,ABP Alarm [High],2416
8548,CVP Alarm [High],1888
8549,HR Alarm [High],4047
8550,ICP Alarm [High],4
8551,NBP Alarm [High],3449
8552,PAP Alarm [High],752
8553,Resp Alarm [High],3565
8554,SpO2 Alarm [High],4004
8555,Arterial BP #2 [Diastolic],27
220045,Heart Rate,8094
220046,Heart rate Alarm - High,883
220047,Heart Rate Alarm - Low,885
220048,Heart Rhythm,7414
220050,Arterial Blood Pressure systolic,3018
220051,Arterial Blood Pressure diastolic,3017
220052,Arterial Blood Pressure mean,3029
220056,Arterial Blood Pressure Alarm - Low,331
220058,Arterial Blood Pressure Alarm - High,331
220059,Pulmonary Artery Pressure systolic,21
220060,Pulmonary Artery Pressure diastolic,22
220061,Pulmonary Artery Pressure mean,22
220063,Pulmonary Artery Pressure Alarm - High,3
220066,Pulmonary Artery Pressure Alarm - Low,3
220072,Central Venous Pressure Alarm - High,150
220073,Central Venous Pressure  Alarm - Low,150
220074,Central Venous Pressure,1742
220179,Non Invasive Blood Pressure systolic,4884
220180,Non Invasive Blood Pressure diastolic,4879
220181,Non Invasive Blood Pressure mean,4895
220210,Respiratory Rate,8056
220224,Arterial O2 pressure,391
220227,Arterial O2 Saturation,62
220228,Hemoglobin,429
220235,Arterial CO2 Pressure,391
220274,PH (Venous),8
220277,O2 saturation pulseoxymetry,8053
220292,Minute Volume Alarm - Low,765
220293,Minute Volume Alarm - High,765
220339,PEEP set,836
220545,Hematocrit (serum),508
220546,WBC,425
220580,Ammonia,1
220581,Amylase,10
220587,AST,117
220602,Chloride (serum),549
220603,Cholesterol,7
220615,Creatinine,514
220621,Glucose (serum),555
220624,HDL,7
220632,LDH,133
220635,Magnesium,509
220644,ALT,117
220645,Sodium (serum),558
220650,Total Protein,6
220734,PH (dipstick),66
220739,GCS - Eye Opening,2033
223679,TCO2 (calc) Venous,5
223751,Non-Invasive Blood Pressure Alarm - High,632
223752,Non-Invasive Blood Pressure Alarm - Low,630
223753,Riker-SAS Scale,2523
223754,Risk for Falls,1546
223758,Code Status,158
223759,Precautions: Standard +,65
223760,Health Care Proxy,63
223761,Temperature Fahrenheit,1976
223762,Temperature Celsius,30
223763,Bladder Pressure,9
223768,Intra Cranial Pressure Alarm - Low,1
223769,O2 Saturation Pulseoxymetry Alarm - High,867
223770,O2 Saturation Pulseoxymetry Alarm - Low,867
223772,SvO2,43
223780,Daily Wake Up Deferred,1143
223781,Pain Present,2050
223782,Pain Type,895
223783,Pain Location,1376
223784,Pain Cause,500
223791,Pain Level,980
223792,Pain Management,2402
223794,Pain Level Acceptable,1263
223795,Pain Assessment Method,2069
223796,Untoward Effect,403
223797,Sensory Level,4
223800,Epidural Appearance,16
223801,NMB Medication,9
223802,Nerve Stimulated,10
223805,Nausea and Vomiting (CIWA),12
223806,Tremor (CIWA),12
223810,Paroxysmal Sweats,12
223811,Anxiety,12
223814,Auditory Disturbance,12
223817,Agitation,12
223818,Tactile Disturbances,12
223819,Visual Disturbances,12
223820,Headache,12
223821,Orient/Clouding Sensory,12
223823,Insomnia,12
223824,Seizure,12
223825,Sustained Nystagmus,8
223828,Slurred Speech,8
223829,Drowsiness,8
223830,PH (Arterial),394
223834,O2 Flow,614
223835,Inspired O2 Fraction,1219
223836,Airway Type,2
223837,ETT Size (ID),622
223838,ETT Location,626
223840,ETT Re-taped,1
223847,Passey Muir Valve in use,24
223848,Ventilator Type,704
223849,Ventilator Mode,842
223872,Inspired Gas Temp.,515
223873,Paw High,758
223874,Vti High,749
223875,Fspn High,720
223876,Apnea Interval,761
223898,Orientation,2041
223900,GCS - Verbal Response,2028
223901,GCS - Motor Response,2016
223902,Speech,1976
223903,Communication,1509
223904,Gag Reflex,1576
223905,Cough Reflex,1598
223907,Pupil Size Right,1267
223910,Follows Commands,1483
223911,Spontaneous Movement,1900
223916,Response to Stimuli (Type),1822
223917,RU Strength/Movement,1330
223918,RL Strength/Movement,1328
223919,LU Strength/Movement,1327
223920,LL Strength/Movement,1313
223921,Neuro Symptoms,452
223923,Seizure Activity,423
223924,RLE Sensation,386
223925,Seizure Duration,21
223926,Neuro Drain #1 Type,225
223930,Neuro Drain #1 Level,86
223931,Neuro Drain #1 Status,99
223932,Neuro Drain #1 Drainage,8
223934,Dorsal PedPulse R,1478
223935,PostTib. Pulses R,1054
223936,Radial Pulse R,289
223938,Ulnar Pulse R,12
223939,Brachial Pulse R,4
223940,Femoral Pulse R,10
223943,Dorsal PedPulse L,1408
223944,Brachial Pulse L,2
223945,Femoral Pulse L,5
223946,Popliteal Pulse L,1
223947,PostTib. Pulses L,1005
223948,Radial Pulse L,271
223949,Ulnar Pulse L,5
223951,Capillary Refill R,276
223952,Pericardial Drain Status,23
223953,Pericardial Drain Drainage,22
223954,Pericardial Drain Site,22
223955,Temporary Pacemaker Type,7
223956,Temporary Pacemaker Mode,6
223958,Temporary Venticular Sens Threshold mV,1
223960,Temporary Venticular Stim Threshold mA,1
223961,Temporary Pacemaker Wire Condition,7
223962,Temporary Pacemaker Wires Venticular,6
223967,Angio Site # 1,91
223968,Angio Appearance # 1,92
223970,Angio Dressing # 1,92
223976,RUE Color,297
223979,RLE Color,297
223982,LUE Color,294
223983,LLE Color,295
223985,Respiratory Pattern,1732
223986,RUL Lung Sounds,2090
223987,RLL Lung Sounds,2055
223988,LUL Lung Sounds,2084
223989,LLL Lung Sounds,2044
223990,Respiratory Effort,1716
223991,Cough Effort,1433
223992,Cough Type,1165
223993,Chest Tube Site # 1,84
223994,CT #1 Suction Amount,83
223995,CT #1 Fluctuate,76
223996,CT #1 Drainage,79
223997,CT #1 Dressing,80
223998,CT #1 Crepitus,77
223999,Oral Cavity,1906
224000,Nares R,1282
224001,Diet Type,1805
224003,Abdominal Assessment,1873
224004,Bowel Sounds,1682
224005,Flatus,393
224006,Emesis Appearance,16
224007,GI #1 Intub Site,992
224009,GI #1 Tube Drainage,354
224010,GI #1 Tube Place Check,695
224011,Stool Consistency,588
224012,Stool Management,537
224013,Stool Guaiac,100
224015,Urine Source,1656
224016,Urine Color,1580
224017,GU Catheter Size,794
224019,Bladder Irrigation,53
224023,Support Systems,1173
224024,Family Communication,778
224025,Spiritual Support,15
224026,Skin Integrity,1562
224027,Skin Temperature,1551
224028,Skin Color,1509
