concept_code,concept_name,frequency
51093,"Osmolality, Urine",67
51094,pH,5
51095,"Phosphate, Urine",1
51096,Porphobilinogen Screen,1
51097,"Potassium, Urine",26
51098,"Prot. Electrophoresis, Urine",8
51099,Protein/Creatinine Ratio,12
51100,"Sodium, Urine",92
51102,"Total Protein, Urine",17
51103,Uhold,8
51104,"Urea Nitrogen, Urine",44
51105,"Uric Acid, Urine",1
51108,Urine Volume,5
51114,Eosinophils,5
51116,Lymphocytes,19
51117,Macrophage,13
51118,Mesothelial Cell,13
51120,Monocytes,19
51122,Nucleated RBC,2
51124,Plasma,1
51125,Polys,19
51127,"RBC, Ascites",19
51128,"WBC, Ascites",19
51130,Absolute CD3 Count,1
51131,Absolute CD4 Count,1
51132,Absolute CD8 Count,1
51133,Absolute Lymphocyte Count,1
51134,Acanthocytes,7
51136,Alpha Antiplasmin,1
51137,Anisocytosis,215
51143,Atypical Lymphocytes,176
51144,Bands,231
51145,Basophilic Stippling,20
51146,Basophils,547
51147,Bite Cells,4
51148,Blasts,10
51150,Blood Parasite Smear,1
51151,Burr Cells,31
51152,CD10,3
51154,CD117,2
51155,CD11c,2
51156,CD13,3
51158,CD14,2
51159,CD15,2
51164,CD19,3
51167,CD2,2
51168,CD20,3
51176,"CD3 Cells, Percent",3
51177,CD33,2
51178,CD34,3
51180,"CD4 Cells, Percent",3
51181,CD4/CD8 Ratio,1
51182,CD41,2
51183,CD45,3
51184,CD5,3
51188,CD56,2
51191,CD64,2
51192,CD7,2
51193,CD71,2
51194,"CD8 Cells, Percent",3
51196,D-Dimer,26
51197,Elliptocytes,9
51198,Envelope Cells,2
51199,Eosinophil Count,1
51200,Eosinophils,547
51204,Factor V,1
51206,Factor VIII,2
51211,Factor XIII,1
51213,Fibrin Degradation Products,21
51214,"Fibrinogen, Functional",130
51216,Fragmented Cells,9
51217,Glyco A,2
51218,Granulocyte Count,99
51219,H/O Smear,4
51221,Hematocrit,2317
51222,Hemoglobin,2024
51229,"Heparin, LMW",4
51230,HLA-DR,2
51232,Hypersegmented Neutrophils,1
51233,Hypochromia,216
51234,Immunophenotyping,2
51235,Inhibitor Screen,1
51236,Inpatient Hematology/Oncology Smear,7
51237,INR(PT),1378
51238,Kappa,3
51239,Lambda,3
51240,Large Platelets,23
51243,Lupus Anticoagulant,2
51244,Lymphocytes,547
51245,"Lymphocytes, Percent",1
51246,Macrocytes,213
51247,MacroOvalocytes,1
51248,MCH,2007
51249,MCHC,2008
51250,MCV,2007
51251,Metamyelocytes,176
51252,Microcytes,201
51254,Monocytes,547
51255,Myelocytes,176
51256,Neutrophils,547
51257,Nucleated Red Cells,33
51259,Other Cells,6
51260,Ovalocytes,80
51262,Pencil Cells,2
51263,Plasma Cells,4
51264,Platelet Clumps,1
51265,Platelet Count,2088
51266,Platelet Smear,172
51267,Poikilocytosis,191
51268,Polychromasia,174
51269,Promyelocytes,9
51274,PT,1378
51275,PTT,1419
51276,Quantitative G6PD,1
51277,RDW,2005
51278,Red Blood Cell Fragments,7
51279,Red Blood Cells,2007
51283,"Reticulocyte Count, Automated",37
51284,"Reticulocyte Count, Manual",2
51287,Schistocytes,51
51288,Sedimentation Rate,3
51289,Serum Viscosity,1
51290,Sickle Cell Preparation,1
51292,Spherocytes,26
51294,Target Cells,22
51296,Teardrop Cells,42
51297,Thrombin,3
51298,Von Willebrand Factor Activity,2
51299,Von Willebrand Factor Antigen,2
51300,WBC Count,1
51301,White Blood Cells,2021
51302,Young Cells,2
51303,CD10,2
51305,CD117,1
51306,CD11c,1
51307,CD13,1
51309,CD14,1
51310,CD15,1
51313,CD19,2
51314,CD2,2
51315,CD20,1
51317,CD23,1
51319,CD3,2
51320,CD33,1
51321,CD34,1
51323,CD4,1
51324,CD41,1
51325,CD45,2
51326,CD5,2
51328,CD56,1
51331,CD64,1
51332,CD7,2
51333,CD71,1
51334,CD8,1
51335,FMC-7,1
51336,Glyco A,1
51337,HLA-DR,2
51338,Immunophenotyping,2
51339,Iron Stain,1
51340,Kappa,2
51341,Lambda,2
51342,Wright Giemsa,4
51347,Eosinophils,2
51351,Lymphs,12
51352,Macrophage,2
51355,Monocytes,12
51358,Other,2
51360,Polys,12
51362,"RBC, CSF",12
51363,"WBC, CSF",12
51369,"Hematocrit, Joint Fluid",1
51373,"Joint Crystals, Number",1
51375,Lymphocytes,2
51376,Macrophage,1
51379,Monocytes,2
51382,Polys,2
51383,"RBC, Joint Fluid",1
51384,"WBC, Joint Fluid",2
51385,Atypical Lymphocytes,1
51388,CD10,3
51398,CD19,3
51399,CD2,1
51400,CD20,3
51402,CD23,1
51404,CD3,1
51411,CD45,3
51412,CD5,1
51416,CD7,1
51419,Eosinophils,3
51420,FMC-7,1
51422,"Hematocrit, Other Fluid",2
51423,HLA-DR,1
51424,Immunophenotyping,4
51425,Kappa,3
51426,Lambda,3
51427,Lymphocytes,10
51428,Macrophage,5
51429,Mesothelial cells,2
51431,Monos,10
51434,Other Cell,3
51436,Polys,10
51438,"RBC, Other Fluid",9
51439,"WBC, Other Fluid",10
51444,Eosinophils,3
51446,Lymphocytes,11
51447,Macrophages,6
51448,Mesothelial Cells,7
51450,Monos,11
51453,Other,2
51455,Polys,11
51457,"RBC, Pleural",11
51458,"WBC, Pleural",11
51460,"Blood, Occult",1
51462,Amorphous Crystals,27
51463,Bacteria,218
51464,Bilirubin,284
51466,Blood,284
51469,Calcium Oxalate Crystals,2
51474,Eosinophils,14
51476,Epithelial Cells,233
51478,Glucose,285
51479,Granular Casts,15
51482,Hyaline Casts,43
51484,Ketone,286
51486,Leukocytes,281
51487,Nitrite,284
51489,NonSquamous Epithelial Cell,1
51491,pH,300
51492,Protein,297
51493,RBC,233
51497,Renal Epithelial Cells,5
51498,Specific Gravity,300
51501,Transitional Epithelial Cells,11
51505,Uric Acid Crystals,6
51506,Urine Appearance,285
51507,"Urine Casts, Other",1
51508,Urine Color,285
51512,Urine Mucous,61
51513,Urine Specimen Type,2
51514,Urobilinogen,284
51516,WBC,227
51517,WBC Casts,1
51518,WBC Clumps,2
51519,Yeast,233
51523,GR HOLD,37
51529,Estimated Actual Glucose,2
51533,WBCP,1
51537,TDT,1
